iter	Passed	Remaining
0	36	10978
1	74	11132
2	114	11382
3	148	10978
4	197	11633
5	254	12465
6	315	13223
7	349	12757
8	398	12898
9	425	12334
10	479	12594
11	528	12682
12	573	12654
13	622	12722
14	654	12436
15	672	11943
16	709	11812
17	734	11506
18	780	11536
19	826	11571
20	854	11347
21	867	10957
22	906	10919
23	932	10726
24	974	10721
25	1004	10585
26	1043	10554
27	1089	10587
28	1107	10350
29	1156	10408
30	1197	10391
31	1246	10435
32	1307	10582
33	1344	10516
34	1375	10417
35	1425	10450
36	1462	10399
37	1502	10358
38	1535	10274
39	1576	10247
40	1623	10258
41	1658	10185
42	1714	10248
43	1742	10138
44	1790	10148
45	1838	10151
46	1888	10168
47	1934	10154
48	1986	10178
49	2037	10185
50	2086	10187
51	2134	10181
52	2190	10207
53	2246	10233
54	2277	10145
55	2331	10157
56	2370	10103
57	2402	10026
58	2462	10059
59	2515	10061
60	2569	10067
61	2616	10042
62	2660	10007
63	2680	9883
64	2718	9830
65	2769	9820
66	2820	9807
67	2865	9776
68	2909	9742
69	2953	9705
70	2978	9606
71	3023	9575
72	3073	9558
73	3103	9477
74	3125	9377
75	3172	9350
76	3218	9322
77	3270	9308
78	3296	9221
79	3344	9196
80	3384	9149
81	3433	9128
82	3481	9101
83	3510	9027
84	3554	8991
85	3603	8966
86	3655	8949
87	3705	8928
88	3748	8885
89	3791	8846
90	3819	8771
91	3871	8752
92	3925	8736
93	3973	8707
94	3990	8611
95	4004	8510
96	4026	8426
97	4045	8337
98	4065	8253
99	4117	8235
100	4133	8144
101	4183	8121
102	4203	8040
103	4249	8007
104	4296	7979
105	4350	7961
106	4392	7922
107	4439	7892
108	4479	7849
109	4527	7820
110	4550	7748
111	4596	7715
112	4637	7674
113	4664	7610
114	4689	7544
115	4733	7508
116	4755	7438
117	4779	7371
118	4831	7349
119	4874	7311
120	4898	7246
121	4941	7209
122	4994	7186
123	5043	7158
124	5089	7125
125	5116	7065
126	5176	7051
127	5212	7003
128	5262	6975
129	5306	6939
130	5354	6907
131	5409	6885
132	5460	6856
133	5485	6795
134	5521	6748
135	5543	6684
136	5560	6615
137	5601	6575
138	5658	6553
139	5712	6528
140	5727	6458
141	5749	6397
142	5763	6327
143	5816	6301
144	5861	6265
145	5901	6224
146	5950	6193
147	5963	6125
148	6009	6090
149	6030	6030
150	6050	5970
151	6096	5936
152	6144	5903
153	6190	5869
154	6235	5833
155	6270	5787
156	6295	5733
157	6315	5675
158	6362	5642
159	6410	5609
160	6456	5574
161	6473	5514
162	6487	5452
163	6535	5419
164	6581	5384
165	6608	5334
166	6638	5286
167	6689	5255
168	6729	5216
169	6785	5189
170	6827	5150
171	6870	5113
172	6915	5076
173	6932	5020
174	6972	4980
175	6986	4921
176	7006	4868
177	7023	4814
178	7070	4779
179	7138	4758
180	7180	4720
181	7222	4682
182	7274	4650
183	7297	4600
184	7353	4571
185	7397	4533
186	7416	4481
187	7437	4430
188	7483	4395
189	7502	4343
190	7537	4301
191	7551	4247
192	7572	4198
193	7598	4151
194	7650	4119
195	7698	4085
196	7742	4048
197	7782	4008
198	7800	3959
199	7819	3909
200	7858	3870
201	7921	3843
202	7965	3806
203	8006	3767
204	8058	3734
205	8107	3699
206	8151	3662
207	8168	3613
208	8188	3565
209	8230	3527
210	8274	3489
211	8292	3442
212	8330	3402
213	8353	3357
214	8379	3312
215	8429	3278
216	8477	3242
217	8525	3206
218	8569	3169
219	8619	3134
220	8645	3090
221	8688	3052
222	8732	3015
223	8748	2968
224	8797	2932
225	8811	2885
226	8832	2840
227	8845	2793
228	8872	2750
229	8918	2714
230	8930	2667
231	8977	2631
232	9022	2594
233	9058	2554
234	9072	2509
235	9094	2466
236	9149	2432
237	9190	2394
238	9209	2350
239	9255	2313
240	9275	2270
241	9301	2229
242	9358	2195
243	9410	2159
244	9452	2121
245	9472	2079
246	9515	2041
247	9558	2004
248	9607	1967
249	9648	1929
250	9702	1894
251	9749	1857
252	9792	1819
253	9814	1777
254	9858	1739
255	9882	1698
256	9914	1658
257	9929	1616
258	9972	1578
259	10016	1540
260	10029	1498
261	10074	1461
262	10119	1423
263	10145	1383
264	10179	1344
265	10221	1306
266	10246	1266
267	10261	1225
268	10295	1186
269	10312	1145
270	10340	1106
271	10382	1068
272	10436	1032
273	10452	991
274	10468	951
275	10507	913
276	10521	873
277	10536	833
278	10556	794
279	10570	755
280	10587	715
281	10609	677
282	10650	639
283	10693	602
284	10707	563
285	10749	526
286	10769	487
287	10792	449
288	10846	412
289	10887	375
290	10933	338
291	10948	299
292	10974	262
293	10995	224
294	11045	187
295	11085	149
296	11131	112
297	11183	75
298	11229	37
299	11251	0
