iter	Passed	Remaining
0	41	123939
1	81	121561
2	121	120933
3	161	120665
4	188	113165
5	228	114240
6	256	109802
7	296	110864
8	324	107793
9	364	108876
10	397	107995
11	425	105911
12	465	106940
13	505	107815
14	545	108633
15	586	109296
16	620	108853
17	660	109347
18	699	109741
19	738	110092
20	778	110401
21	817	110725
22	858	111080
23	898	111385
24	937	111613
25	977	111842
26	1017	112084
27	1058	112329
28	1098	112526
29	1138	112717
30	1178	112875
31	1206	111895
32	1247	112150
33	1288	112376
34	1328	112571
35	1369	112782
36	1410	112950
37	1450	113067
38	1491	113211
39	1531	113348
40	1571	113447
41	1612	113531
42	1652	113616
43	1692	113677
44	1733	113804
45	1773	113886
46	1814	113984
47	1856	114158
48	1896	114229
49	1937	114317
50	1978	114384
51	2018	114445
52	2058	114486
53	2099	114531
54	2140	114589
55	2181	114683
56	2221	114699
57	2263	114794
58	2303	114815
59	2344	114902
60	2384	114897
61	2425	114921
62	2465	114942
63	2505	114944
64	2546	114971
65	2587	115011
66	2627	115020
67	2669	115090
68	2710	115123
69	2750	115108
70	2790	115126
71	2831	115148
72	2871	115130
73	2912	115168
74	2953	115184
75	2994	115209
76	3034	115209
77	3075	115219
78	3116	115224
79	3156	115208
80	3198	115282
81	3239	115295
82	3279	115265
83	3320	115285
84	3363	115342
85	3403	115312
86	3443	115291
87	3484	115293
88	3525	115298
89	3566	115315
90	3609	115396
91	3650	115383
92	3691	115376
93	3732	115391
94	3773	115379
95	3814	115380
96	3856	115409
97	3897	115418
98	3938	115402
99	3978	115384
100	4020	115394
101	4060	115372
102	4101	115371
103	4143	115368
104	4184	115376
105	4225	115377
106	4268	115401
107	4309	115391
108	4349	115353
109	4388	115307
110	4428	115272
111	4469	115241
112	4510	115225
113	4555	115318
114	4583	114993
115	4623	114950
116	4663	114910
117	4703	114865
118	4743	114837
119	4783	114811
120	4823	114765
121	4862	114710
122	4902	114662
123	4941	114616
124	4983	114625
125	5023	114579
126	5063	114552
127	5105	114555
128	5145	114516
129	5187	114522
130	5228	114500
131	5269	114488
132	5309	114457
133	5351	114462
134	5392	114446
135	5433	114433
136	5473	114387
137	5514	114359
138	5554	114324
139	5596	114318
140	5637	114304
141	5678	114283
142	5719	114272
143	5759	114227
144	5800	114213
145	5842	114200
146	5883	114178
147	5922	114126
148	5963	114108
149	6004	114087
150	6045	114054
151	6086	114041
152	6126	113992
153	6167	113972
154	6208	113963
155	6250	113953
156	6292	113944
157	6332	113903
158	6373	113873
159	6414	113855
160	6454	113818
161	6495	113799
162	6538	113797
163	6579	113780
164	6619	113737
165	6647	113491
166	6689	113472
167	6729	113439
168	6771	113427
169	6810	113381
170	6851	113346
171	6893	113338
172	6933	113295
173	6974	113271
174	7015	113254
175	7059	113279
176	7103	113294
177	7146	113294
178	7189	113309
179	7231	113289
180	7274	113302
181	7318	113313
182	7361	113322
183	7405	113342
184	7448	113341
185	7491	113332
186	7534	113333
187	7578	113348
188	7621	113350
189	7664	113350
190	7706	113344
191	7751	113366
192	7793	113349
193	7836	113346
194	7880	113357
195	7922	113346
196	7967	113358
197	8009	113349
198	8052	113337
199	8095	113340
200	8138	113326
201	8181	113325
202	8224	113316
203	8265	113292
204	8303	113205
205	8345	113194
206	8389	113191
207	8430	113169
208	8473	113156
209	8519	113191
210	8563	113186
211	8606	113178
212	8648	113166
213	8690	113144
214	8737	113181
215	8780	113172
216	8825	113182
217	8868	113175
218	8910	113153
219	8955	113163
220	8997	113137
221	9040	113129
222	9085	113138
223	9125	113094
224	9166	113054
225	9207	113019
226	9248	112977
227	9288	112928
228	9332	112930
229	9373	112889
230	9415	112861
231	9455	112811
232	9497	112790
233	9539	112763
234	9579	112715
235	9624	112724
236	9667	112703
237	9708	112665
238	9749	112628
239	9792	112611
240	9834	112589
241	9875	112553
242	9918	112533
243	9961	112516
244	10002	112478
245	10042	112427
246	10084	112395
247	10124	112354
248	10166	112321
249	10209	112301
250	10250	112269
251	10292	112237
252	10334	112203
253	10375	112167
254	10415	112121
255	10455	112074
256	10495	112025
257	10536	111981
258	10578	111955
259	10619	111916
260	10660	111876
261	10702	111845
262	10742	111798
263	10784	111765
264	10826	111734
265	10868	111703
266	10908	111658
267	10950	111627
268	10990	111579
269	11031	111542
270	11074	111521
271	11115	111486
272	11157	111449
273	11198	111409
274	11238	111359
275	11279	111319
276	11320	111280
277	11361	111241
278	11402	111209
279	11443	111160
280	11483	111114
281	11525	111085
282	11566	111045
283	11608	111013
284	11648	110968
285	11689	110924
286	11729	110878
287	11770	110841
288	11811	110803
289	11855	110784
290	11896	110749
291	11938	110719
292	11979	110675
293	12019	110631
294	12061	110596
295	12101	110548
296	12142	110512
297	12183	110471
298	12225	110438
299	12266	110402
300	12307	110354
301	12348	110321
302	12390	110288
303	12430	110241
304	12472	110203
305	12513	110171
306	12554	110128
307	12596	110095
308	12638	110068
309	12679	110026
310	12722	110004
311	12763	109965
312	12805	109927
313	12846	109891
314	12887	109850
315	12928	109806
