id,trait,SNP_01,SNP_02,SNP_03,SNP_04,SNP_05,SNP_06,SNP_07,SNP_08,SNP_09,SNP_10,SNP_11,SNP_12,SNP_13,SNP_14,SNP_15,class,SNP_01_ratio,SNP_02_ratio,SNP_03_ratio,SNP_04_ratio,SNP_05_ratio,SNP_06_ratio,SNP_07_ratio,SNP_08_ratio,SNP_09_ratio,SNP_10_ratio,SNP_11_ratio,SNP_12_ratio,SNP_13_ratio,SNP_14_ratio,SNP_15_ratio,trait_ratio
TRAIN_000,1,2,1,0,1,1,0,0,2,0,2,1,0,0,0,0,1,0.644927536231884,0.6373626373626373,0.4528301886792453,0.8548387096774194,0.4861111111111111,0.5409836065573771,0.6441717791411042,0.8227848101265823,0.5384615384615384,0.7432432432432432,0.6626506024096386,0.5777777777777777,0.8269230769230769,0.6551724137931034,0.6893203883495146,0.5906735751295337
TRAIN_001,1,1,1,1,0,0,1,0,1,0,1,0,1,2,0,0,2,0.5,0.6373626373626373,0.6413043478260869,0.4067796610169492,0.1794871794871795,0.5980392156862745,0.6441717791411042,0.4823529411764706,0.5384615384615384,0.11764705882352941,0.42168674698795183,0.6037735849056604,0.3673469387755102,0.6551724137931034,0.6893203883495146,0.5906735751295337
TRAIN_002,1,2,2,0,1,2,2,0,1,1,1,0,0,0,0,0,1,0.644927536231884,0.8222222222222222,0.4528301886792453,0.8548387096774194,0.8780487804878049,0.6666666666666666,0.6441717791411042,0.4823529411764706,0.9565217391304348,0.11764705882352941,0.42168674698795183,0.5777777777777777,0.8269230769230769,0.6551724137931034,0.6893203883495146,0.5906735751295337
TRAIN_003,0,0,2,0,1,0,2,2,0,2,1,2,2,2,0,2,0,0.0,0.8222222222222222,0.4528301886792453,0.8548387096774194,0.1794871794871795,0.6666666666666666,0.0,0.27586206896551724,1.0,0.11764705882352941,0.8888888888888888,0.8,0.3673469387755102,0.6551724137931034,0.2727272727272727,0.0
TRAIN_004,1,2,2,2,0,2,0,0,0,0,2,0,0,1,0,1,2,0.644927536231884,0.8222222222222222,0.6458333333333334,0.4067796610169492,0.8780487804878049,0.5409836065573771,0.6441717791411042,0.27586206896551724,0.5384615384615384,0.7432432432432432,0.42168674698795183,0.5777777777777777,0.5760869565217391,0.6551724137931034,0.5063291139240507,0.5906735751295337
TRAIN_005,1,2,2,1,0,2,0,0,1,0,2,0,0,0,0,0,1,0.644927536231884,0.8222222222222222,0.6413043478260869,0.4067796610169492,0.8780487804878049,0.5409836065573771,0.6441717791411042,0.4823529411764706,0.5384615384615384,0.7432432432432432,0.42168674698795183,0.5777777777777777,0.8269230769230769,0.6551724137931034,0.6893203883495146,0.5906735751295337
TRAIN_006,1,2,1,1,1,0,1,0,2,0,2,1,0,1,0,0,1,0.644927536231884,0.6373626373626373,0.6413043478260869,0.8548387096774194,0.1794871794871795,0.5980392156862745,0.6441717791411042,0.8227848101265823,0.5384615384615384,0.7432432432432432,0.6626506024096386,0.5777777777777777,0.5760869565217391,0.6551724137931034,0.6893203883495146,0.5906735751295337
TRAIN_007,1,2,2,2,1,2,0,1,1,0,2,0,1,0,0,2,1,0.644927536231884,0.8222222222222222,0.6458333333333334,0.8548387096774194,0.8780487804878049,0.5409836065573771,0.3,0.4823529411764706,0.5384615384615384,0.7432432432432432,0.42168674698795183,0.6037735849056604,0.8269230769230769,0.6551724137931034,0.2727272727272727,0.5906735751295337
TRAIN_008,1,2,0,1,2,1,0,0,1,0,2,1,0,1,0,0,1,0.644927536231884,0.3333333333333333,0.6413043478260869,1.0,0.4861111111111111,0.5409836065573771,0.6441717791411042,0.4823529411764706,0.5384615384615384,0.7432432432432432,0.6626506024096386,0.5777777777777777,0.5760869565217391,0.6551724137931034,0.6893203883495146,0.5906735751295337
TRAIN_009,1,2,2,1,0,2,1,0,2,0,1,1,0,2,0,2,2,0.644927536231884,0.8222222222222222,0.6413043478260869,0.4067796610169492,0.8780487804878049,0.5980392156862745,0.6441717791411042,0.8227848101265823,0.5384615384615384,0.11764705882352941,0.6626506024096386,0.5777777777777777,0.3673469387755102,0.6551724137931034,0.2727272727272727,0.5906735751295337
TRAIN_010,1,2,1,1,1,1,1,0,1,1,2,1,0,1,0,0,1,0.644927536231884,0.6373626373626373,0.6413043478260869,0.8548387096774194,0.4861111111111111,0.5980392156862745,0.6441717791411042,0.4823529411764706,0.9565217391304348,0.7432432432432432,0.6626506024096386,0.5777777777777777,0.5760869565217391,0.6551724137931034,0.6893203883495146,0.5906735751295337
TRAIN_011,1,2,1,2,1,1,1,0,2,0,2,0,1,1,0,0,1,0.644927536231884,0.6373626373626373,0.6458333333333334,0.8548387096774194,0.4861111111111111,0.5980392156862745,0.6441717791411042,0.8227848101265823,0.5384615384615384,0.7432432432432432,0.42168674698795183,0.6037735849056604,0.5760869565217391,0.6551724137931034,0.6893203883495146,0.5906735751295337
TRAIN_012,1,2,1,2,0,0,1,0,1,0,2,0,0,1,0,2,2,0.644927536231884,0.6373626373626373,0.6458333333333334,0.4067796610169492,0.1794871794871795,0.5980392156862745,0.6441717791411042,0.4823529411764706,0.5384615384615384,0.7432432432432432,0.42168674698795183,0.5777777777777777,0.5760869565217391,0.6551724137931034,0.2727272727272727,0.5906735751295337
TRAIN_013,1,1,0,1,1,0,2,0,0,0,0,0,0,1,0,0,2,0.5,0.3333333333333333,0.6413043478260869,0.8548387096774194,0.1794871794871795,0.6666666666666666,0.6441717791411042,0.27586206896551724,0.5384615384615384,0.0,0.42168674698795183,0.5777777777777777,0.5760869565217391,0.6551724137931034,0.6893203883495146,0.5906735751295337
TRAIN_014,1,2,2,0,2,2,0,1,1,0,2,0,0,1,0,0,1,0.644927536231884,0.8222222222222222,0.4528301886792453,1.0,0.8780487804878049,0.5409836065573771,0.3,0.4823529411764706,0.5384615384615384,0.7432432432432432,0.42168674698795183,0.5777777777777777,0.5760869565217391,0.6551724137931034,0.6893203883495146,0.5906735751295337
TRAIN_015,0,0,2,0,2,0,2,2,0,2,1,1,1,2,2,2,0,0.0,0.8222222222222222,0.4528301886792453,1.0,0.1794871794871795,0.6666666666666666,0.0,0.27586206896551724,1.0,0.11764705882352941,0.6626506024096386,0.6037735849056604,0.3673469387755102,0.0,0.2727272727272727,0.0
TRAIN_016,0,0,2,0,2,0,2,2,0,1,2,1,2,2,1,2,0,0.0,0.8222222222222222,0.4528301886792453,1.0,0.1794871794871795,0.6666666666666666,0.0,0.27586206896551724,0.9565217391304348,0.7432432432432432,0.6626506024096386,0.8,0.3673469387755102,0.0,0.2727272727272727,0.0
TRAIN_017,0,1,1,0,2,1,1,1,0,1,1,2,1,2,0,2,0,0.5,0.6373626373626373,0.4528301886792453,1.0,0.4861111111111111,0.5980392156862745,0.3,0.27586206896551724,0.9565217391304348,0.11764705882352941,0.8888888888888888,0.6037735849056604,0.3673469387755102,0.6551724137931034,0.2727272727272727,0.0
TRAIN_018,0,0,2,0,1,0,2,2,0,1,0,2,2,2,1,2,0,0.0,0.8222222222222222,0.4528301886792453,0.8548387096774194,0.1794871794871795,0.6666666666666666,0.0,0.27586206896551724,0.9565217391304348,0.0,0.8888888888888888,0.8,0.3673469387755102,0.0,0.2727272727272727,0.0
TRAIN_019,1,2,1,0,0,1,1,0,1,0,1,1,0,1,1,1,2,0.644927536231884,0.6373626373626373,0.4528301886792453,0.4067796610169492,0.4861111111111111,0.5980392156862745,0.6441717791411042,0.4823529411764706,0.5384615384615384,0.11764705882352941,0.6626506024096386,0.5777777777777777,0.5760869565217391,0.0,0.5063291139240507,0.5906735751295337
TRAIN_020,1,2,1,1,1,0,1,0,2,0,2,1,0,1,0,2,1,0.644927536231884,0.6373626373626373,0.6413043478260869,0.8548387096774194,0.1794871794871795,0.5980392156862745,0.6441717791411042,0.8227848101265823,0.5384615384615384,0.7432432432432432,0.6626506024096386,0.5777777777777777,0.5760869565217391,0.6551724137931034,0.2727272727272727,0.5906735751295337
TRAIN_021,1,2,1,2,0,2,1,0,2,0,2,2,0,1,0,1,1,0.644927536231884,0.6373626373626373,0.6458333333333334,0.4067796610169492,0.8780487804878049,0.5980392156862745,0.6441717791411042,0.8227848101265823,0.5384615384615384,0.7432432432432432,0.8888888888888888,0.5777777777777777,0.5760869565217391,0.6551724137931034,0.5063291139240507,0.5906735751295337
TRAIN_022,0,0,2,0,1,0,2,2,0,2,1,2,2,2,1,2,0,0.0,0.8222222222222222,0.4528301886792453,0.8548387096774194,0.1794871794871795,0.6666666666666666,0.0,0.27586206896551724,1.0,0.11764705882352941,0.8888888888888888,0.8,0.3673469387755102,0.0,0.2727272727272727,0.0
TRAIN_023,1,2,1,2,1,1,1,0,2,0,2,0,0,0,0,1,1,0.644927536231884,0.6373626373626373,0.6458333333333334,0.8548387096774194,0.4861111111111111,0.5980392156862745,0.6441717791411042,0.8227848101265823,0.5384615384615384,0.7432432432432432,0.42168674698795183,0.5777777777777777,0.8269230769230769,0.6551724137931034,0.5063291139240507,0.5906735751295337
TRAIN_024,1,2,0,2,0,0,0,0,1,0,2,0,0,1,0,0,2,0.644927536231884,0.3333333333333333,0.6458333333333334,0.4067796610169492,0.1794871794871795,0.5409836065573771,0.6441717791411042,0.4823529411764706,0.5384615384615384,0.7432432432432432,0.42168674698795183,0.5777777777777777,0.5760869565217391,0.6551724137931034,0.6893203883495146,0.5906735751295337
TRAIN_025,1,2,1,0,1,2,0,0,2,0,2,2,0,1,0,0,1,0.644927536231884,0.6373626373626373,0.4528301886792453,0.8548387096774194,0.8780487804878049,0.5409836065573771,0.6441717791411042,0.8227848101265823,0.5384615384615384,0.7432432432432432,0.8888888888888888,0.5777777777777777,0.5760869565217391,0.6551724137931034,0.6893203883495146,0.5906735751295337
TRAIN_026,1,2,2,2,1,2,0,0,1,0,2,0,1,1,0,0,1,0.644927536231884,0.8222222222222222,0.6458333333333334,0.8548387096774194,0.8780487804878049,0.5409836065573771,0.6441717791411042,0.4823529411764706,0.5384615384615384,0.7432432432432432,0.42168674698795183,0.6037735849056604,0.5760869565217391,0.6551724137931034,0.6893203883495146,0.5906735751295337
